Standard,Khan Academy Lesson Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G4 Skill Plan,,,,,,,
4.MD.A.1,Converting Larger Units To Smaller Units Ounces And Pounds,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-converting-units-of-mass/e/converting-larger-units-to-smaller-units--ounces-and-pounds-,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-converting-units-of-mass/v/converting-pounds-to-ounces,4,1,5,"LYK - Compare and convert metric units of mass 
LJV - Convert and compare customary units of weight 
PS8 - Convert time units: hours, minutes, and seconds
",,,,,,,
4.MD.A.2,Measuring Time Word Problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-converting-units-of-time/e/measuring-time-word-problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-converting-units-of-time/v/time-word-problem,4,4,8,"PS8 - Convert time units: hours, minutes, and seconds",,,,,,,
4.MD.A.2,Metric Conversions Word Problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-conversion-word-problems/e/metric-conversions-word-problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-conversion-word-problems/v/metric-system-unit-conversion-examples,4,5,9,,,,,,,,
4.MD.A.2,Telling Time Word Problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-time-2/e/telling-time-word-problems-,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-time-2/v/time-to-leave-for-home,4,4,8,,,,,,,,
4.MD.A.2,Estimating Volume,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-estimating-volume/e/estimating-volume--cups--pints--quarts--and-gallons-,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-estimating-volume/v/us-customary-fluid-volume,7,7,14,,,,,,,,
4.MD.A.2,Estimating Mass,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-estimating-mass/e/estimating-mass--ounces-and-pounds-,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-estimating-mass/v/us-customary-weight,4,4,8,,,,,,,,
4.MD.A.2,Estimating Length,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-estimating-length/e/estimating-length--inches--feet--yards--and-miles-,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-estimating-length/v/us-customary-distance,7,5,12,,,,,,,,
4.MD.A.2,"Time Differences Over The Hour
",https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-time-2/e/time-differences--over-the-hour-,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-time-2/v/times-differences-math-3rd-grade-khan-academy,4,4,8,"ZQP - Find start and end times: multi-step word problems

",,,,,,,
4.G.A.2,"Classify triangles by angles
Classify triangles by side lengths
Classify triangles by both sides and angles","https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures/imp-classifying-triangles/e/identifying-triangles-by-angles
https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures/imp-classifying-triangles/e/recognizing-triangles
https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures/imp-classifying-triangles/e/classify-triangles-by-both-sides-and-angles",https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures/imp-classifying-triangles/v/recog-triangles-example,12,2,6,"R5K - Acute, right, obtuse, and straight angles
HPZ-Relationship between sides and angles in a triangle",,,,,,,
4.G.A.3,Axis Of Symmetry,https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures/imp-line-of-symmetry/e/axis_of_symmetry,https://www.khanacademy.org/math/cc-fourth-grade-math/plane-figures/imp-line-of-symmetry/v/identifying-symmetrical-figures,7,5,12,,,,,,,,
4.8(B) TEKS,Measuring And Converting Money Word Problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-money-word-problems/e/measuring-and-converting-money-word-problems,https://www.khanacademy.org/math/cc-fourth-grade-math/imp-measurement-and-data-2/imp-money-word-problems/v/currency-conversion-example,4,1,5,"2D5 - Add and subtract money amounts

",,,,,,,
4.4(H) TEKS,Adding Decimals Without The Standard Algorithm 1,https://www.khanacademy.org/math/cc-fifth-grade-math/imp-addition-and-subtraction-3/imp-adding-decimals/e/adding-decimals-without-the-standard-algorithm-1,https://www.khanacademy.org/math/cc-fifth-grade-math/imp-addition-and-subtraction-3/imp-adding-decimals/v/adding-decimals-with-ones-and-tenths-parts,4,6,10,"6HP - Add and subtract decimals: word problems

",,,,,,,
