Set ID,Standard ID,Standard Description,Content Kind,Content Title,Content URL
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Order of operations example: fractions and exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/v/order-operations-example-fractions-exponents
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Order of operations examples: exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/v/order-of-operations-with-exponents-examples
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Order of operations introduction,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-order-of-operations/v/order-operations-intro
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/a/order-of-operations-review
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Order of operations with fractions and exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/e/evaluating-numerical-expressions-with-exponents
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Parts of algebraic expressions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-evaluating-expressions/e/identifying-parts-of-expressions
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,"Terms, factors, & coefficients",https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-evaluating-expressions/v/expression-terms-factors-and-coefficients
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,"Terms, factors, and coefficients review",https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-evaluating-expressions/a/terms-factors-and-coefficients-review
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Variable expressions with exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-substitution/e/exponents-in-expressions
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,"Variables, expressions, & equations",https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-intro-equations/v/variables-expressions-and-equations
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Worked example: Order of operations (PEMDAS),https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-order-of-operations/v/more-complicated-order-of-operations-example
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Writing algebraic subtraction expressions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/algebraic-subtraction-expressions
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-with-variables-examples
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/a/writing-basic-algebraic-expressions
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/e/writing-expressions-with-variables-1
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/v/writing-basic-expressions-from-word-problems-examples
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/a/writing-algebraic-expressions-in-word-problems
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/e/writing-expressions-with-variables-word-problems
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Writing expressions with parentheses,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-parentheses
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-1
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Article,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/a/writing-expressions-with-variables
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Exercise,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/e/writing_expressions_1
CCSS.Math,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Video,Writing expressions with variables & parentheses,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-2
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Video,Writing algebraic subtraction expressions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/algebraic-subtraction-expressions
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Video,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-with-variables-examples
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Article,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/a/writing-basic-algebraic-expressions
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Exercise,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/e/writing-expressions-with-variables-1
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Video,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/v/writing-basic-expressions-from-word-problems-examples
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Article,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/a/writing-algebraic-expressions-in-word-problems
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Exercise,Writing basic expressions word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-alg-expression-word-problems/e/writing-expressions-with-variables-word-problems
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Video,Writing expressions with parentheses,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-parentheses
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Video,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-1
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Article,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/a/writing-expressions-with-variables
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Exercise,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/e/writing_expressions_1
CCSS.Math,6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Video,Writing expressions with variables & parentheses,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-2
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Exercise,Parts of algebraic expressions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-evaluating-expressions/e/identifying-parts-of-expressions
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Video,"Terms, factors, & coefficients",https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-evaluating-expressions/v/expression-terms-factors-and-coefficients
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Article,"Terms, factors, and coefficients review",https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-evaluating-expressions/a/terms-factors-and-coefficients-review
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Video,"Variables, expressions, & equations",https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-intro-equations/v/variables-expressions-and-equations
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Video,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-with-variables-examples
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Article,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/a/writing-basic-algebraic-expressions
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Exercise,Writing basic expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/e/writing-expressions-with-variables-1
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Video,Writing expressions with parentheses,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-parentheses
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Video,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-1
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Article,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/a/writing-expressions-with-variables
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Exercise,Writing expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/e/writing_expressions_1
CCSS.Math,6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Video,Writing expressions with variables & parentheses,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-writing-expressions/v/writing-expressions-2
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Evaluating exponent expressions with variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-substitution/v/evaluating-exponent-expressions-with-variables
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Evaluating expressions like 5x² & ⅓(6)ˣ,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-substitution/v/evaluating-expressions-5x2
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Article,Evaluating expressions with variables word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/a/evaluating-expressions-with-variables-in-word-problems
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Exercise,Evaluating expressions with variables word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/e/evaluating-expressions-3
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Evaluating expressions with variables: cubes,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluating-expressions-3-exercise
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Evaluating expressions with variables: exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluating-exponential-expressions
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Evaluating expressions with variables: temperature,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-7th-evaluating-expressions-word-problems/v/evaluate-a-formula-using-substitution
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Expression value intuition,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/expression-value-intuition/v/expression-value-change-examples
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Article,Expression value intuition,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/expression-value-intuition/a/thinking-about-changing-values-of-variables-and-expressions
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Exercise,Expression value intuition,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/expression-value-intuition/e/expression-value-intuition
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Intro to order of operations,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-multiply-and-divide/cc-7th-order-of-operations/v/introduction-to-order-of-operations
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Exercise,Order of operations,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/e/order_of_operations_2
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Order of operations example,https://www.khanacademy.org/math/cc-seventh-grade-math/cc-7th-negative-numbers-multiply-and-divide/cc-7th-order-of-operations/v/order-of-operations-1
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Order of operations example: fractions and exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/v/order-operations-example-fractions-exponents
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Order of operations examples: exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/v/order-of-operations-with-exponents-examples
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Video,Order of operations introduction,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/cc-6th-order-of-operations/v/order-operations-intro
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Article,Order of operations review,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/a/order-of-operations-review
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Exercise,Order of operations with fractions and exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:cc-6th-exponents-and-order-of-operations/x0267d782:more-on-order-of-operations/e/evaluating-numerical-expressions-with-exponents
CCSS.Math,6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Exercise,Variable expressions with exponents,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-expressions-and-variables/cc-6th-substitution/e/exponents-in-expressions
