Standard,Khan Academy Lesson Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G6 Skill Plan,,Total time,4.6,hours
6.EE.B.6,Model with one-step equations and solve,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-super-yoga/e/model-with-one-step-equations-and-solve,,4,,4,,,,,
TEKS 6.7C,Model expressions,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:equivalent-expressions/x3931b57772b927b3:equivalent-expressions-1/e/model-expressions,https://youtu.be/ZLYeAFaSocI,4,5,9,,Can the YT video be included?,,,
6.EE.C.9,Relationships between quantities in equations,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/x0267d782:cc-6th-analyzing-relationships/e/create-two-variable-equations-from-real-world-contexts,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/x0267d782:cc-6th-analyzing-relationships/v/equations-relationships-quantities,4,6,10,"UJQ-Solve word problems by finding two-variable equations
BXY-Solve one-step equations: word problems",,,,
6.EE.C.9,Analyze relationships between variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/x0267d782:cc-6th-analyzing-relationships/e/analyze-relationships-between-variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/x0267d782:cc-6th-analyzing-relationships/v/analyzing-relationships-between-variables,4,3,7,,,,,
6.EE.C.9,Dependent and Independent Variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-dependent-independent/e/dependent-and-independent-variables,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-dependent-independent/v/dependent-independent-variables,4,3,7,9UJ-Identify independent and dependent variables: word problems,,,,
6.EE.B.8,Inequalities word problems,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-inequalities/e/inequalities-in-one-variable-1,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-equations-and-inequalities/cc-6th-inequalities/v/real-world-situations-with-inequalities,4,3,7,,,,,
TEKS 6.9C,Identify situations for one-step inequalities,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:one-variable-inequalities/x3931b57772b927b3:one-step-inequalities/e/identify-situations-one-step-inequalities,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:one-variable-inequalities/x3931b57772b927b3:one-step-inequalities/v/inequalities,2,4,6,,,,,
6.G.A.2,Volume with fractions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/cc-6th-volume-with-fractions/e/volume_with_fractions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/cc-6th-volume-with-fractions/v/volume-of-a-rectangular-prism-with-fractional-dimensions,4,5,9,XHF - Volume of cubes and rectangular prisms ,,,,
6.G.A.2,Volume word problems: fractions & decimals,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/cc-6th-volume-with-fractions/e/volume-word-problems-with-fractions,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/cc-6th-volume-with-fractions/v/marbles-in-tank-volume,4,7,11,,,,,
6.G.A.3,Drawing polygons with coordinates,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:coordinate-plane/cc-6th-quadrilaterals-on-plane/e/drawing-polygons,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:coordinate-plane/cc-6th-quadrilaterals-on-plane/v/constructing-polygon-on-coordinate-plane-example,4,2,6,UCD - Area and perimeter of squares and rectangles on the coordinate plane ,,,,
6.G.A.3,Area And Perimeter On the Coordinate Plane,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:coordinate-plane/cc-6th-quadrilaterals-on-plane/e/area-and-perimeter-on-the-coordinate-plane,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:coordinate-plane/cc-6th-quadrilaterals-on-plane/v/area-of-parallelogram-on-coordinate-plane,4,2,6,,,,,
6.G.A.3,Quadrilateral problems on the coordinate plane,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:coordinate-plane/cc-6th-quadrilaterals-on-plane/e/polygons-in-the-coordinate-plane,https://www.khanacademy.org/math/cc-sixth-grade-math/x0267d782:coordinate-plane/cc-6th-quadrilaterals-on-plane/v/coordinates-of-rectangle-example,7,3,10,,,,,
6.G.A.4,Identify parts of 3D shapes,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/geometric-solids/e/identify-parts-of-3d-shapes,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/geometric-solids/v/counting-faces-and-edges-of-3d-shapes,4,4,8,,,,,
6.G.A.4,Identify geometric solids (3D shapes),https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/geometric-solids/e/identify-geometric-solids--3d-figures-,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/geometric-solids/v/recognizing-common-3d-shapes,4,4,8,,,,,
6.G.A.4,Intro to nets of polyhedra,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/x0267d782:cc-6th-nets-of-3d-figures/e/nets-of-3d-figures,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/x0267d782:cc-6th-nets-of-3d-figures/v/nets-of-polyhedra,4,7,11,,,,,
6.G.A.4,Surface area using nets,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/x0267d782:cc-6th-nets-of-3d-figures/e/surface-area,https://www.khanacademy.org/math/cc-sixth-grade-math/cc-6th-geometry-topic/x0267d782:cc-6th-nets-of-3d-figures/v/surface-area-of-a-box-using-nets,4,4,8,"RMG - Surface area of cubes and rectangular prisms
UGR - Surface area of triangular prisms",,,,
TEKS 6.14A,Checking accounts,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:checking-account-costs-and-features/e/checking-accounts,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:checking-account-costs-and-features/v/features-and-fees-of-checking-accounts,4,7,11,,,,,
TEKS 6.14C,Check register,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:check-register/e/balancing-a-check-register,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:check-register/v/balancing-a-check-register,4,3,7,,,,,
TEKS 6.14C,Using debit or credit,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:payment-methods-debit-cards-and-credit-cards/e/using-debit-or-credit,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:payment-methods-debit-cards-and-credit-cards/v/debit-and-credit-cards,4,4,8,,,,,
TEKS 6.14D,Credit report & credit history,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:credit-reports-and-credit-history/e/credit-report-and-credit-history,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:credit-reports-and-credit-history/v/credit-report-credit-history,4,5,9,,,,,
TEKS 6.14G,Paying for college,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:paying-for-college/e/paying-for-college,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:paying-for-college/v/paying-for-college,7,5,12,,,,,
6.14H,Let's compare salaries,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:jobs-and-salaries/e/let-s-compare-salaries,https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:personal-financial-literacy/x3931b57772b927b3:jobs-and-salaries/v/comparing-salaries,4,3,7,,,,,
