Set ID,Standard ID,Standard Description,Content Kind,Content Title,Content URL
NGSS.MS,MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,Video,Chemical reactions,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:chemical-changes/xc370bc422b7f75fc:chemical-reactions/v/chemical-reactions
NGSS.MS,MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,Exercise,Understand: chemical changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:chemical-changes/xc370bc422b7f75fc:chemical-changes-ms/e/understand-chemical-changes
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Apply: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/apply-density
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Apply: heat capacity,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:thermal-energy-and-heat/xc370bc422b7f75fc:heat-capacity/e/apply-heat-capacity-ms
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Apply: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/apply-phase-changes
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Apply: temperature and heat,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:thermal-energy-and-heat/xc370bc422b7f75fc:temperature-and-heat/e/apply-temperature-and-heat
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,Density (conceptual),https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-conceptual
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,Density equation,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-equation
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,Heat capacity,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:thermal-energy-and-heat/xc370bc422b7f75fc:heat-capacity/v/heat-capacity-ms
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,Phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/phase-changes
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,States of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/states-of-matter-ms
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,Temperature and Celsius,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/v/temperature-and-celsius
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Video,Thermal energy and heat transfer,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:thermal-energy-and-heat/xc370bc422b7f75fc:temperature-and-heat/v/thermal-energy-and-heat-transfer
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Understand: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/understand-density
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Understand: heat capacity,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:thermal-energy-and-heat/xc370bc422b7f75fc:heat-capacity/e/understand-heat-capacity-ms
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Understand: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-phase-changes
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Understand: states of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-states-of-matter
NGSS.MS,MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",Exercise,Understand: temperature,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/e/understand-temperature
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Exercise,Apply: compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/e/apply-compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Exercise,Apply: mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/e/apply-mixtures
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Exercise,Apply: the periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/e/apply-periodic-table
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Video,Atoms,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/atoms
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Video,Compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/v/compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Video,Elements,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/elements
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Article,"Molecules, compounds, and chemical formulas",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/a/compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Video,"Molecules, crystals, and diatomic elements",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/v/molecules-crystals-and-diatomic-elements
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Video,Properties of homogeneous mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/v/properties-of-homogeneous-mixtures
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Video,The periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/the-periodic-table
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Exercise,Understand: compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/e/understand-compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Exercise,Understand: mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/e/understand-mixtures
NGSS.MS,MS-PS1.A.1,"Substances are made from different types of atoms, which combine with one another in various ways. Atoms form molecules that range in size from two to thousands of atoms.",Exercise,Understand: the periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/e/understand-the-periodic-table
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Apply: compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/e/apply-compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Apply: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/apply-density
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Apply: mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/e/apply-mixtures
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Apply: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/apply-phase-changes
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Apply: physical properties and changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/e/apply-physical-properties-changes
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Apply: the periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/e/apply-periodic-table
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/v/compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Density (conceptual),https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-conceptual
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Density equation,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-equation
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Article,"Molecules, compounds, and chemical formulas",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/a/compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,"Molecules, crystals, and diatomic elements",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/v/molecules-crystals-and-diatomic-elements
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/phase-changes
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Physical changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/v/physical-changes
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Physical properties,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/v/physical-properties
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Properties of homogeneous mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/v/properties-of-homogeneous-mixtures
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,States of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/states-of-matter-ms
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,Temperature and Celsius,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/v/temperature-and-celsius
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Video,The periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/v/the-periodic-table
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: compounds and chemical formulas,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:compounds/e/understand-compounds-and-chemical-formulas
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/understand-density
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: mixtures,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:mixtures/e/understand-mixtures
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-phase-changes
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,"Understand: physical properties, extrinsic & intrinsic",https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/e/understand-physical-properties-extrinsic-intrinsic
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: states of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-states-of-matter
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: temperature,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/e/understand-temperature
NGSS.MS,MS-PS1.A.2,Each pure substance has characteristic physical and chemical properties (for any bulk quantity under given conditions) that can be used to identify it.,Exercise,Understand: the periodic table,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:classifying-matter/xc370bc422b7f75fc:elements-and-atoms/e/understand-the-periodic-table
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Exercise,Apply: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/apply-density
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Exercise,Apply: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/apply-phase-changes
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Video,Density (conceptual),https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-conceptual
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Video,Density equation,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-equation
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Video,Phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/phase-changes
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Video,States of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/states-of-matter-ms
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Video,Temperature and Celsius,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/v/temperature-and-celsius
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Exercise,Understand: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/understand-density
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Exercise,Understand: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-phase-changes
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Exercise,Understand: states of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-states-of-matter
NGSS.MS,MS-PS1.A.3,Gases and liquids are made of molecules or inert atoms that are moving about relative to each other. ,Exercise,Understand: temperature,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:intrinsic-and-extrinsic-properties/e/understand-temperature
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Exercise,Apply: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/apply-density
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Exercise,Apply: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/apply-phase-changes
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Video,Density (conceptual),https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-conceptual
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Video,Density equation,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/v/density-equation
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Video,Phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/phase-changes
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Video,States of matter,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/v/states-of-matter-ms
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Exercise,Understand: density,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:density/e/understand-density
NGSS.MS,MS-PS1.A.4,"In a liquid, the molecules are constantly in contact with others; in a gas, they are widely spaced except when they happen to collide. In a solid, atoms are closely spaced and may vibrate in position but do not change relative locations.",Exercise,Understand: phase changes,https://www.khanacademy.org/science/ms-chemistry/xc370bc422b7f75fc:physical-properties-of-matter/xc370bc422b7f75fc:states-of-matter-and-phase-changes/e/understand-phase-changes
