Standard,Khan Academy Exercise Name,Exercise Link,Video Link,Exercise Completion Time,Video Time (min),Estimated XP,Corresponding IXL Lesson from G8 Skill Plan,,Total time,10.2,hours
8.F.A.3,Linear & nonlinear functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/linear-nonlinear-functions-tut/e/linear-non-linear-functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/linear-nonlinear-functions-tut/v/recognizing-linear-functions,7,4,11,"Identify linear and nonlinear functions: tables, Identify linear and nonlinear functions: graphs and equations",,,,
8.F.B.4,Graphing linear relationships word problems,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/constructing-linear-models-real-world/e/graphing-linear-functions-word-problems,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/constructing-linear-models-real-world/v/graphing-linear-functions-1,4,6,10,,,,,
8.F.B.4,Writing linear functions word problems,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/constructing-linear-models-real-world/e/writing-linear-functions-word-problems,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/constructing-linear-models-real-world/v/constructing-linear-functions-1,4,7,11,Write linear functions: word problems,,,,
8.F.B.5,Interpreting graphs of functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/linear-nonlinear-functions-tut/e/interpreting-graphs-of-linear-and-nonlinear-functions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-linear-equations-functions/linear-nonlinear-functions-tut/v/interpreting-a-graph-exercise-example,4,3,7,Interpret points on the graph of a linear function,,,,
8.G.A.1,Identify transformations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/identify-transformations/e/identify-transformations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/identify-transformations/v/introduction-to-transformations,4,7,11,"Identify reflections, rotations, and translations",,,,
8.G.A.1,Translate points,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/translations-8th/e/performing-translations-on-the-coordinate-plane,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/translations-8th/v/translating-points,4,4,8,Translations: graph the image,,,,
"8.G.A.1, 8.G.A.3",Translate shapes,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/translations-8th/e/translations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/translations-8th/v/drawing-image-of-translation,4,2,6,Translations: find the coordinates,,,,
"8.G.A.1, 8.G.A.3",Determine translations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/translations-8th/e/defining-translations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/translations-8th/v/formal-translation-tool-example,4,2,6,Translations: write the rule,,,,
"8.G.A.1, 8.G.A.3",Rotate points (basic),https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/rotations-8th/e/rotate-points--basic-,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/rotations-8th/v/rotating-points,4,2,6,Rotations: graph the image,,,,
"8.G.A.1, 8.G.A.3",Determine rotations (basic),https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/rotations-8th/e/determine-rotations--basic-,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/rotations-8th/v/defining-rotation-example,4,3,7,Rotations: find the coordinates,,,,
"8.G.A.1, 8.G.A.3",Reflect points,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/reflections-8th/e/performing-reflections-on-the-coordinate-plane,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/reflections-8th/v/reflecting-points,4,4,8,Reflections over the x- and y-axes: graph the image,,,,
"8.G.A.1, 8.G.A.3",Reflect shapes,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/reflections-8th/e/reflections-1,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/reflections-8th/v/reflecting-shapes,4,3,7,Reflections over the x- and y-axes: find the coordinates,,,,
"8.G.A.1, 8.G.A.3",Determine reflections,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/reflections-8th/e/determine-reflections,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/reflections-8th/v/determining-reflections,4,2,6,Reflections and rotations: write the rule,,,,
"8.G.A.1, 8.G.A.3",Algebraic rules for transformations,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:algebraic-rules-for-transformations/e/algebraic-rules-for-transformations,"1 - https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:algebraic-rules-for-transformations/v/translations-graph-to-algebraic-rule
2 - https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:algebraic-rules-for-transformations/v/rotations-graph-to-algebraic-rule
3 - https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:algebraic-rules-for-transformations/v/reflections-graph-to-algebraic-rule",4,10,14,,,,,
"8.G.A.1, 8.G.A.2",Find measures using rigid transformations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/transformations-properties/e/find-measures-using-rigid-transformations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/transformations-properties/v/finding-measures-using-rigid-transformations,4,5,9,,,,,
"8.G.A.1, 8.G.A.2",Rigid transformations: preserved properties,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/transformations-properties/e/transformation-preserved-properties,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/transformations-properties/v/rigid-transformations-preserved-properties,4,7,11,,,,,
8.G.A.2,Mapping shapes,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/transformations-properties/e/mapping-shapes,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/transformations-properties/v/mapping-shapes,4,9,13,Sequences of congruence transformations: choose the sequence,,,,
8.G.A.3,Dilate points,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/e/performing-dilations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/v/dilating-points-example,4,3,7,Dilations: find the coordinates,,,,
"8.G.A.3, 8.G.A.4",Dilations: scale factor,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/e/defining-dilations-2,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/v/dilation-scale-factor,4,5,9,Dilations: find the scale factor,,,,
"8.G.A.3, 8.G.A.4",Dilate triangles,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/e/dilations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/v/thinking-about-dilations,4,3,7,Dilations: graph the image,,,,
"8.G.A.3, 8.G.A.4",Represent dilations algebraically,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:dilations/e/represent-dilations-algebraically,"https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:dilations/v/representing-dilations-algebraically-k-greater-than-1
https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:transformational-geometry/x42e41b058fcf4059:dilations/v/representing-dilations-algebraically-k-less-than-1",4,7,11,,,,,
8.G.A.3,Dilations and properties,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/e/dilations-preserved-properties,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/8th-dilations/v/dilations-and-properties,4,6,10,,,,,
8.G.A.2,Congruence & transformations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/congruence-similarity/e/exploring-rigid-transformations-and-congruence,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/congruence-similarity/v/testing-congruence-by-transformations-example,4,2,6,Determine if two figures are congruent: justify your answer,,,,
8.G.A.4,Similarity & transformations,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/congruence-similarity/e/exploring-angle-preserving-transformations-and-similarity,https://www.khanacademy.org/math/cc-eighth-grade-math/geometric-transformations/congruence-similarity/v/testing-similarity-through-transformations,4,3,7,Similar and congruent figures,,,,
8.EE.B.6,Similar triangles & slope,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:untitled-76/x42e41b058fcf4059:similar-triangles-slope/e/similar-triangles-and-slope,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:untitled-76/x42e41b058fcf4059:similar-triangles-slope/v/using-similar-triangles-to-reason-about-slope,4,7,11,Similar triangles and indirect measurement,,,,
"8.G.B.6, 8.G.B.7",Use Pythagorean theorem to find right triangle side lengths,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/pythagorean_theorem_1,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/v/the-pythagorean-theorem,7,11,18,Pythagorean theorem: find the missing leg or hypotenuse length,,,,
"8.G.B.6, 8.G.B.7",Use area of squares to visualize Pythagorean theorem,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/use-area-of-squares-to-visualize-pythagorean-theorem,,4,,4,,,,,
8.G.B.7,Use Pythagorean theorem to find isosceles triangle side lengths,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/use-pythagorean-theorem-to-find-side-lengths-on-isosceles-triangles,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/v/pythagorean-theorem-with-right-triangle,7,4,11,,,,,
8.G.B.7,Right triangle side lengths,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/right-triangle-side-lengths,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/v/pythagorean-theorem-2,4,5,9,Converse of the Pythagorean theorem: is it a right triangle?,,,,
8.G.B.7,Use Pythagorean theorem to find perimeter,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/e/use-pythagorean-theorem-to-find-area-and-perimeter,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/v/area-of-an-isosceles-triangle,4,4,8,Pythagorean theorem: find the perimeter,,,,
8.G.B.7,Use Pythagorean theorem to find area,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/e/use-pythagorean-theorem-to-find-area,,4,,4,,,,,
8.G.B.7,Pythagorean theorem word problems,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/e/pythagorean-theorem-word-problems--basic,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/v/pythagorean-theorem-1,4,5,9,Pythagorean theorem: word problems,,,,
8.G.B.7,Pythagorean theorem in 3D,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/e/pythagorean-theorem-in-3d,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-theorem-application/v/pythagoriean-theorem-in-3d,4,6,10,,,,,
8.G.B.8,Distance between two points,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-distance/e/distance_formula,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/pythagorean-distance/v/distance-formula,7,10,17,Find the distance between two points,,,,
8.G.C.9,Cylinder volume formula,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:measurement-of-three-dimensional-figures/x42e41b058fcf4059:cylinders/e/cylinder-volume-formula,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/v/cylinder-volume-and-surface-area,4,8,12,Volume of cylinders,,,,
8.G.C.9,Volume of cylinders,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/e/volumes-of-cones--cylinders--and-spheres,,6,,6,Volume of cylinders,,,,
8.G.C.9,Volume of spheres,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/e/volume-of-spheres,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/v/volume-of-a-sphere,6,3,9,Volume of cones,,,,
8.G.C.9,Volume of cones,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/e/volume-of-cones,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/v/volume-cone-example,6,6,12,Volume of spheres,,,,
8.G.C.9,"Volume of cylinders, spheres, and cones word problems",https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-volume/e/volume-of-cylinders--spheres--and-cones-word-problems,,6,,6,Checkpoint: Volume,,,,
8.SP.A.1,Constructing scatter plots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-scatter-plots/e/constructing-scatter-plots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-scatter-plots/v/constructing-scatter-plot,4,3,7,Create scatter plots,,,,
8.SP.A.1,Making appropriate scatter plots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-scatter-plots/e/making-good-scatter-plots,,4,,4,Create scatter plots,,,,
8.SP.A.1,Positive and negative linear associations from scatter plots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-interpreting-scatter-plots/e/positive-and-negative-linear-correlations-from-scatter-plots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-interpreting-scatter-plots/v/scatter-plot-interpreting,4,3,7,Identify trends with scatter plots,,,,
8.SP.A.1,Describing trends in scatterplots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-interpreting-scatter-plots/e/interpreting-scatter-plots,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-interpreting-scatter-plots/v/trends-in-smoking-scatter-plot,4,3,7,Interpret scatter plots,,,,
8.SP.A.2,Eyeballing the line of best fit,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/e/plotting_the_line_of_best_fit,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/v/estimating-the-line-of-best-fit-exercise,4,2,6,Identify lines of best fit,,,,
8.SP.A.3,Estimating slope of line of best fit,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/e/linear-models-of-bivariate-data,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/v/smoking-1945-extrapolation,4,5,9,,,,,
8.SP.A.3,"Estimating equations of lines of best fit, and using them to make predictions",https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/e/equations-of-lines-of-best-fit-to-make-predictions,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/v/example-estimating-from-regression-line,4,4,8,Write equations for lines of best fit,,,,
8.SP.A.3,Interpreting slope and y-intercept for linear models,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/e/interpreting-slope-and-y-intercept-of-lines-of-best-fit,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/cc-8th-line-of-best-fit/v/interpreting-trend-line,4,4,8,Interpret lines of best fit: word problems,,,,
8.SP.A.4,Read two-way frequency tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/e/reading-two-way-frequency-tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/v/two-way-frequency-tables-and-venn-diagrams,4,7,11,,,,,
8.SP.A.4,Create two-way frequency tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/e/two-way-frequency-tables,,6,,6,,,,,
8.SP.A.4,Analyze two-way frequency tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/e/reading-two-way-relative-frequency-tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/v/two-way-relative-frequency-tables,4,5,9,,,,,
8.SP.A.4,Create two-way relative frequency tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/e/two-way-relative-frequency-tables,,8,,8,Find probabilities using two-way frequency tables,,,,
8.SP.A.4,Interpret two-way tables,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/e/frequencies-of-bivariate-data,https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-data/two-way-tables/v/interpreting-two-way-tables,6,2,8,,,,,
TEKS 8.12C,Simple and compound interest,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:one-variable-equations-inequalities-and/x42e41b058fcf4059:simple-and-compound-interest/e/simple-and-compound-interest,https://www.khanacademy.org/math/grade-8-math-tx/x42e41b058fcf4059:one-variable-equations-inequalities-and/x42e41b058fcf4059:simple-and-compound-interest/v/calculating-simple-compound-interest,6,7,13,Simple interest,,,,
